100,Self-discipline causes which of the following?,Job satisfaction,Better planning,More friends                                                                                                                                                                                                                                                   ,Better social life,Better planning,gymSmallAlpha.PNG,matrix                        ,small                         ,alpha                         ,gym                           
101,Which of the following indirect causal relationships is correct?                                                                                                                                                                                               ,Taking supplements -> gym mania -> evident results,Popularity -> gym budy -> unhappiness ,Health issues -> inability to focus -> obesity                                                                                                                                                                                                                                                  ,Pleasant gym time -> available gym facilities -> gym mania,Taking supplements -> gym mania -> evident results,gymLargeAlpha.PNG,matrix                        ,large                         ,alpha                         ,gym                           
102,Studying in groups causes which of the following?,Pass exams,Critical thinking,Independent work, Good essay skills,Pass exams,studentSmallHier.jpg,node-linked                   ,small                         ,hier                          ,student                       
103,Which of the following indirect causal relationships is correct?                                                                                                                                                                                               ,Good argumentation -> successful debates -> pass exams,Good Argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                             ,Logical thinking -> self motivation -> independent work,Independent work -> pass exams -> study goups                                                                                                                                                                                                                                               ,Good Argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                             ,studentSmallHier.jpg,node-linked                   ,small                         ,hier                          ,student                       
104,Negative parenting causes which of the following?,Underaged drinking,Low salary,Alcoholism,Childhood issues,Childhood issues,drinkingIssuesMedParallel.jpg,node-linked                   ,medium                        ,parallel                      ,drinking                      
105,Which of the following indirect causal relationships is correct?                                                                                                                                                                                               ,Drinking parents -> drinking friends -> underaged drinking,Low salary -> loneliness -> alcoholism,Underaged drinking -> gambling -> depression,Negative parenting -> behavioural issues -> low grades,Underaged drinking -> gambling -> depression,drinkingIssuesMedParallel.jpg,node-linked                   ,medium                        ,parallel                      ,drinking                      
1,Alcoholism causes which of the following?                                                                                                                                                                                                                                                                   ,Behavioural Issues                                                                                                                                                                                                                                                                                          ,Emotional issues                                                                                                                                                                                                                                                                                            ,Depression                                                                                                                                                                                                                                                                                                  ,Loneliness                                                                                                                                                                                                                                                                                                  ,Depression                                                                                                                                                                                                                                                                                                  ,drinkingIssuesSmallHier.jpg                                                                                                                                                                             ,node-linked                   ,small                         ,hier                          ,drinking                      
2,Which of the following indirect causal relationships is correct?                                                                                                                                                                                                                                            ,Drinking parents->Childhood Isses -> Underaged drinking                                                                                                                                                                                                                                                     ,Loneliness -> behavioural issues -> depression                                                                                                                                                                                                                                                              ,Low grades -> behavioural issues -> emotional issues                                                                                                                                                                                                                                                        ,Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ,Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ,drinkingIssuesSmallHier.jpg                                                                                                                                                                             ,node-linked                   ,small                         ,hier                          ,drinking                      
3,Joining sports societies causes which of the following?                                                                                                                                                                                                                                                     ,Doing sports                                                                                                                                                                                                                                                                                                ,Participation is team sports                                                                                                                                                                                                                                                                                ,More friends                                                                                                                                                                                                                                                                                                ,Self-discipline                                                                                                                                                                                                                                                                                             ,More friends                                                                                                                                                                                                                                                                                                ,sportSmallOrganic.jpg                                                                                                                                                                                   ,node-linked                   ,small                         ,organic                       ,gym                           
4,Which of the following indirect causal relationships is correct?                                                                                                                                                                                                                                            ,Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ,More friends -> better social life -> self-discipline                                                                                                                                                                                                                                                       ,Better planning -> self-discipline -> doing sports                                                                                                                                                                                                                                                          ,More friends -> better planning -> self-discipline                                                                                                                                                                                                                                                          ,Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ,sportSmallOrganic.jpg                                                                                                                                                                                   ,node-linked                   ,small                         ,organic                       ,gym                           
5,Good argumentation causes which of the following?                                                                                                                                                                                                                                                           ,Self-motivation                                                                                                                                                                                                                                                                                             ,Successful Debates                                                                                                                                                                                                                                                                                          ,Study groups                                                                                                                                                                                                                                                                                                ,Independent work                                                                                                                                                                                                                                                                                            ,Successful Debates                                                                                                                                                                                                                                                                                          ,studentSmallParallel.jpg                                                                                                                                                                                ,node-linked                   ,small                         ,parallel                      ,student                       
