1,drinkingIssuesExtraLargeHierCC.jpg,node-link,xl,hier,drinking,low grades,depression,low self-image,obesity,poor education,bullying,lack of friends,regular drinking,sedentary lifestyle,health issues,low grades; low self-image; bullying,regular drinking,drinking friends - behavioural issues - poor education - negative parenting - childhood issues - loneliness - suicidal behaviour
2,drinkingIssuesExtraLargeOrganicCC.jpg,node-link,xl,organic,drinking,sedentary lifestyle,early age drinking,poor education,emotional problems,criminal behaviour,obesity,robbery,smoking,bullying,health issues,health issues; bullying,obesity; emotional problems,low grades - negative parenting - childhood issues - loneliness - sedentary lifestyle - binge eating - low self-esteem - unhappiness
3,drinkingIssuesExtraLargeRadialCC.jpg,node-link,xl,radial,drinking,low salary,alcoholism,criminal behaviour,negative parenting,loneliness,suicidal behaviour,social help,lack of self-esteem,binge eating,no family support,binge eating; lack of self-esteem; suicidal behaviour,negative parenting,health issues - sedentary lifestyle - childhood issues - bullying - low grades - low salary - unability to pay bills 
4,drinkingIssuesMedHier.jpg,node-link,med,hier,drinking,lack of self-esteem,low salary,depression,underaged drinking,alcoholism,drinking parents,lack of self-esteem,low grades,health issues,loneliness,low grades; alcoholism; drinking parents,underaged drinking,drinking friends - behavioural issues - poor education - negative parenting - childhood issues - smoking - loneliness
5,drinkingIssuesMedOrganic.jpg,node-link,med,organic,drinking,low salary,behavioural issues,smoking,alcoholism,gambling,obesity,lack of self-esteem,drinking parents,depression,poor education,low salary; smoking; gambling,lack of self-esteem,low self-representation - low grades - behavioural issues - drinking friends - alcoholism - poor education - negative parenting
6,drinkingIssuesMedRadial.jpg,node-link,med,radial,drinking,smoking,binge eating,health issues,gambling,lack of self-esteem,drinking parents,behavioural issues,alcoholism,underaged drinking,drinking friends,smoking; health issues; gambling,drinking parents,childhood issues - loneliness - sedentary lifestyle - binge eating - obesity - depression - underaged drinking
7,sportExtraLargeHierCC.jpg,node-link,xl,hier,sport,gym dislike,better social life,obesity,evident results,popularity,addiction,playing tennis,regular gym attendance,social gym experience,gym buddy,gym dislike; obesity; popularity,playing tennis,join sports societies - more friends - better social life - more likeable - attend events - more drinking - fun
8,sportExtraLargeOrganicCC.jpg,node-link,xl,organic,sport,unhappiness,regular gym attendance,pain,pool,trainers,better social life,sports avoidance ,available gym facilities,good equipment,gym injuries,regular gym attendance; pool; trainers,available gym facilities,large gym - gym buddy - social gym experience - gym return - make time for gym - addiction
9,sportExtraLargeRadialCC.jpg,node-link,xl,radial,sport,taking supplements,doing sports,tired body,regular gym attendance,gym return,gym buddy,emotional stability,evident results,available gym facilities,join sports societies,taking supplements,regular gym attendance; gym buddy; evident resutls,available gym facilities - social gym experience - pleasant gym time - gym overuse - tired body - unhappiness - stop gym overuse
10,sportMedHierCC.jpg,node-link,med,hier,sport,inability to focus,gym buddy,obesity,regular gym attendance,health issues,gym overuse,tired body,join sports societies,doing sports,health issues,gym buddy; regular gym attendance; tired body,join sports societies,large gym - social gym experience - pleasant gym time - gym overuse - taking supplements - gym mania - health issues 
11,sportMedOrganicCC.jpg,node-link,med,organic,sport,gym buddy,tired body,better social life,more friends,gym mania,social gym experience,large gym,anxiety to attend,sports avoidance,obesity,gym buddy; more friends; tired body; social gym experience,,available gym facilities - doing sports - join sports societies - gym overuse - taking supplements - gym mania - health issues
12,sportMedRadialCC.jpg,node-link,med,radial,sport,gym buddy,gym dislike,inability to focus,doing sports,join sports societies,better social life,large gym,regular gym attendance,health issues,tired body,gym buddy; inability to focus,join sports societies; large gym,available gym facilities - anxiety to attend - gym dislike - sports avoidance - obesity - social gym experience - more friends
13,studentExtraLargeHierCC.jpg,node-link,xl,hier,student,luck,day-dreaming,happiness,watching movies,doesn't miss deadlines,good planning,studying in the library,relaxed self,pass exams,resit exams,luck,day-dreaming; good planning; studying in the library,friends - going out - happiness - confidence - desire to study - study groups - late bed time
14,studentExtraLargeOrganicCC.jpg,node-link,xl,organic,student,pass exams,desire to succeed,good planning,doesn't miss deadlines,poor lectures attendance,success,studying in the library,independent work,regular gym attendance,good planning,pass exams,doesn't miss deadlines; studying in the library; regular drinking,desire to succeed - hard work - high grades during term - study groups - late bed time - poor lectures attendance - poor performance
15,studentExtraLargeRadialCC.jpg,node-link,xl,radial,student,relaxed self,meditation,day-dreaming,good social life,independent work,desire to study,studying in the library,wasting time,poor performance,resit exams,poor performance,studying in the library; desire to study; day-dreaming,self-pitty - lack of motivation - missed deadlines - poor lectures attendance - study groups - late bed time - regular drinking
16,studentMedHierCC.jpg,node-link,med,hier,student,independent work,self-motivation,meditation,confidence,late bed time,study groups,poor lectures attendance,regular drinking,high grades during term,many friends,,many friends; regular drinking; study groups; confidence,watching movies - late bed time - poor lectures attendance - missed deadlines - poor performance - fail exams - low-self-esteem
17,studentMedOrganicCC.jpg,node-link,med,organic,student,many friends,study groups,pass exams,independent work,hard work,good planning,self-motivation,meditation,relaxed-self,fail exams,pass exams; independent work,hard work; meditation,good planning - doesn't miss deadlines - high grades during term - relaxed-self - fail exams - low self-esteem - late bed time
18,studentMedRadialCC.jpg,node-link,med,radial,student,pass exams,many friends,missed deadlines,hard work,self-motivation,low self-esteem,good planning,meditation,confidence,relaxed-self,pass exams; missed deadlines; low self-esteem,meditation,studying in the library - study groups - poor lectures attendance - poor peformance - fail exams - hard work - late bed time
